Zat_Padat_Terlarut;Kekeruhan;Besi;Fluorida;Total_Hardness;Chlorida;Mangan;Nitrat;Nitrit;Ph;Seng;Sulfat;Senyawa_Aktif_Biru_Metilen;Organik_KMnO4;Suhu;Bakteri_Koli;Kualitas;Zat_Padat_Terlarut,Kekeruhan,Besi,Fluorida,Total_Hardness,Chlorida,Mangan,Nitrat,Nitrit,Ph,Seng,Sulfat,Senyawa_Aktif_Biru_Metilen,Organik_KMnO4,Suhu,Bakteri_Koli,Kualitas
1720;00.02;00.08;00.48;149.39.00;637.11.00;00.17;0,042361111;0.013;08.05;00.01;25.89;00.03;0,420833333;23.04;0;0;1720,0.02,0.08,0.48,149.39,637.11,0.17,0.61,0.013,8.5,0.01,25.89,0.03,9.66,23.4,0,0
5000;00.02;00.08;0,047916667;256.12.00;2312.28.00;0,091666667;0;0.008;8;00.01;61.25.00;00.04;08.18;23.03;0;0;5000,0.02,0.08,0.69,256.12,2312.28,1.72,0,0.008,8,0.01,61.25,0.04,8.18,23.3,0,0
699;28.08.00;00.21;0,045138889;242.86;87.08.00;01.29;00.02;0.045;8;00.01;16.04;00.05;0,96875;23.01;312;0;699,28.8,0.21,0.65,242.86,87.08,1.29,0.2,0.045,8,0.01,16.04,0.05,22.75,23.1,312,0
481;00.01;00.08;00.36;220.61;49.79;0,051388889;0,170138889;00.48;07.08;00.01;44.36.00;00.01;0,378472222;23.01;844.06.00;0;481,0.1,0.08,0.36,220.61,49.79,0.74,3.65,0.48,7.8,0.01,44.36,0.1,8.65,23.1,844.6,0
941;10.08;00.08;00.39;194.49.00;287.31.00;00.58;00.04;0.009;8;00.02;67.99;00.03;02.08;23.01;147.68;0;941,10.8,0.08,0.39,194.49,287.31,0.58,0.4,0.009,8,0.02,67.99,0.03,2.8,23.1,147.68,0
674;04.03;00.08;01.22;95.51.00;208.77;00.05;00.21;0,091666667;08.02;00.01;12.17;00.05;15.13;23.08;100;0;674,4.3,0.08,1.22,95.51,208.77,0.05,0.21,0.132,8.2,0.01,12.17,0.05,15.13,23.8,100,0
491;05.01;00.59;00.57;120.84;77.04.00;00.06;00.11;0.011;08.01;00.03;0,814583333;00.09;0,520138889;23.09;823.09.00;0;491,5.1,0.59,0.57,120.84,77.04,0.6,0.11,0.011,8.1,0.03,18.93,0.09,11.89,23.9,823.9,0
1190;00.09;00.16;01.54;87.54.00;384.73;00.06;00.21;0.003;08.05;00.01;32.47.00;00.03;0,558333333;23.04;400;0;1190,0.9,0.16,1.54,87.54,384.73,0.06,0.21,0.003,8.5,0.01,32.47,0.3,12.84,23.4,400,0
884;00.02;00.08;00.05;63.06.00;124.47.00;00.05;0;0.003;08.05;00.01;104.63;00.03;00.01;23.03;0;0;884,0.02,0.08,0.5,63.06,124.47,0.05,0,0.003,8.5,0.01,104.63,0.03,0.1,23.3,0,0
421;00.02;00.08;00.04;31.43.00;54.61;00.05;00.24;0.003;08.03;00.03;08.42;00.03;00.28;23.02;0;1;421,0.02,0.08,0.4,31.43,54.61,0.05,0.24,0.003,8.3,0.03,8.42,0.03,0.28,23.2,0,1
567;00.02;00.08;0,050694444;167.14.00;75.27.00;00.05;0;0.003;08.03;00.01;22.43;00.03;00.25;23.01;0;0;567,0.02,0.08,0.73,167.14,75.27,0.05,0,0.003,8.3,0.01,22.43,0.03,0.25,23.1,0,0
421;00.02;00.08;00.04;31.43.00;54.61;00.05;00.24;0.003;08.03;00.03;08.42;00.03;00.28;23.02;0;0;421,0.02,0.08,0.4,31.43,54.61,0.05,0.24,0.003,8.3,0.03,8.42,0.03,0.28,23.2,0,0
1670;00.07;00.08;00.47;179.59.00;388.66;00.36;01.14;0.028;08.06;00.01;87.94;00.05;0,275694444;24.08.00;0;0;1670,0.7,0.08,0.47,179.59,388.66,0.36,1.14,0.028,8.6,0.01,87.94,0.05,5.97,24.8,0,0
274;00.05;00.08;00.17;40.82;32.96;00.05;01.18;0.006;08.04;00.01;0,973611111;00.03;04.37;24.05.00;1200;0;274,0.5,0.08,0.17,40.82,32.96,0.05,1.18,0.006,8.4,0.01,22.82,0.03,4.37,24.5,1200,0
1520;01.03;00.08;00.32;130.61;388.66;0,061805556;00.01;0.012;08.08;00.01;62.32.00;0,045138889;22.32;24.03.00;2800;0;1520,1.3,0.08,0.32,130.61,388.66,0.89,0.1,0.012,8.8,0.01,62.32,0.65,22.32,24.3,2800,0
637;01.08;00.22;00.32;191.84;88.56.00;01.06;03.35;0.006;08.05;03.09;107.43.00;00.03;03.04;24.03.00;900;0;637,1.8,0.22,0.32,191.84,88.56,1.6,3.35,0.006,8.5,3.9,107.43,0.03,3.04,24.3,900,0
517;57.08.00;00.08;00.42;165.01.00;56.67;00.05;0,177083333;0,135416667;08.01;00.03;84.49.00;00.07;15.06;24;318;0;517,57.8,0.08,0.42,165.1,56.67,0.05,3.75,0.195,8.1,0.03,84.49,0.07,15.06,24,318,0
549;00.55;00.08;00.03;14.16;106.37.00;00.05;00.13;0.008;8;00.01;48.95;00.08;05.44;23.07;128.96;0;549,0.55,0.08,0.3,14.16,106.37,0.05,0.13,0.008,8,0.01,48.95,0.08,5.44,23.7,128.96,0
536;04.23;00.08;00.35;0,525;46.23.00;00.05;00.12;0.009;08.04;00.01;04.34;00.07;05.07;23.07;2000;0;536,4.23,0.08,0.35,11.96,46.23,0.05,0.12,0.009,8.4,0.01,4.34,0.07,5.7,23.7,2000,0
493;00.02;00.08;00.08;83.35.00;69.09.00;00.05;00.05;0.004;08.04;00.01;34.88;00.06;06.38;23.08;0;0;493,0.02,0.08,0.8,83.35,69.09,0.05,0.5,0.004,8.4,0.01,34.88,0.06,6.38,23.8,0,0
737;00.23;00.08;00.23;0,608333333;131.22.00;00.05;00.04;0.006;08.03;00.03;64.08.00;00.06;0,340972222;23.05;1600;0;737,0.23,0.08,0.23,13.96,131.22,0.05,0.04,0.006,8.3,0.03,64.8,0.06,7.71,23.5,1600,0
434;0,130555556;00.08;00.22;51.02.00;44.01.00;00.05;01.31;0.004;07.06;00.04;44.21.00;00.03;04.02;23.09;118.56.00;0;434,2.68,0.08,0.22,51.02,44.01,0.05,1.31,0.004,7.6,0.04,44.21,0.03,4.2,23.9,118.56,0
355;0,679861111;0,056944444;00.19;73.47.00;38.96;00.18;00.17;0.005;07.06;00.03;72.63;00.03;09.54;23.09;100;0;355,15.79,0.82,0.19,73.47,38.96,0.18,0.17,0.005,7.6,0.03,72.63,0.03,9.54,23.9,100,0
500;01.42;00.08;00.19;112.24.00;86.01.00;00.18;01.44;00.14;07.04;00.01;102.67;00.01;0,765277778;23.07;3000;0;500,1.42,0.08,0.19,112.24,86.01,0.18,1.44,0.14,7.4,0.01,102.67,0.1,17.82,23.7,3000,0
500;01.42;00.08;00.19;112.24.00;86.01.00;00.18;01.44;00.14;07.04;00.01;102.67;00.01;0,765277778;23.07;3000;0;500,1.42,0.08,0.19,112.24,86.01,0.18,1.44,0.14,7.4,0.01,102.67,0.1,17.82,23.7,3000,0
415;00.03;00.16;0,054166667;14.16;55.17.00;00.05;0,06875;0.003;08.04;00.01;53.05.00;00.05;07.28;23.09;0;0;415,0.3,0.16,0.78,14.16,55.17,0.05,0.99,0.003,8.4,0.01,53.5,0.05,7.28,23.9,0,0
386;17.07;00.15;0,060416667;118.84;38.37.00;0,107638889;00.03;0.027;08.02;00.01;22;00.15;04.59;23.07;133.12.00;0;386,17.7,0.15,0.87,118.84,38.37,1.95,0.3,0.027,8.2,0.01,22,0.15,4.59,23.7,133.12,0
548;00.02;00.08;0,059027778;162.11.00;78.04.00;01.18;00.37;0.008;08.03;00.01;111.15.00;00.06;03.54;23.01;885.08.00;0;548,0.02,0.08,0.85,162.11,78.04,1.18,0.37,0.008,8.3,0.01,111.15,0.06,3.54,23.1,885.8,0
394;23.05;0,061111111;0,047916667;88.53.00;53.24.00;02.19;00.16;0.003;08.04;00.01;37.98;00.07;0,227083333;23;160.16.00;0;394,23.5,0.88,0.69,88.53,53.24,2.19,0.16,0.003,8.4,0.01,37.98,0.07,4.87,23,160.16,0
2380;02.01;00.08;00.05;76.77;381.74;00.34;00.08;0.004;08.03;00.01;118.17.00;00.26;04.21;23.05;100;0;2380,2.01,0.08,0.5,76.77,381.74,0.34,0.08,0.004,8.3,0.01,118.17,0.26,4.21,23.5,100,0
162;00.03;00.08;00.11;46.66;14.41;00.05;0,094444444;0.004;07.07;00.02;0,651388889;00.05;08.02;23.05;0;0;162,0.03,0.08,0.11,46.66,14.41,0.05,1.76,0.004,7.7,0.2,14.98,0.05,8.2,23.5,0,0
636;02.35;00.08;00.25;115.25.00;64.12.00;00.05;01.47;0,072222222;08.03;01.07;62.62;00.06;09.02;23.05;400;0;636,2.35,0.08,0.25,115.25,64.12,0.05,1.47,0.104,8.3,1.7,62.62,0.06,9.2,23.5,400,0
844;01.03;00.08;00.56;213.36.00;2122.45.00;00.26;01.15;0.064;08.01;00.01;107.08.00;00.06;0,304166667;23.04;139.36.00;0;844,1.3,0.08,0.56,213.36,2122.45,0.26,1.15,0.064,8.1,0.01,107.8,0.06,6.78,23.4,139.36,0
1220;0,150694444;00.08;00.45;239.28.00;422.05.00;00.42;0,130555556;0.033;8;00.01;61.96;00.07;27.84;23.05;282.88;0;1220,2.97,0.08,0.45,239.28,422.5,0.42,2.68,0.033,8,0.01,61.96,0.07,27.84,23.5,282.88,0
605;00.02;00.08;00.15;62.61;140.17.00;00.14;0,086805556;0.015;07.09;00.05;62.06.00;00.06;0,085416667;23.03;0;0;605,0.02,0.08,0.15,62.61,140.17,0.14,1.65,0.015,7.9,0.05,62.6,0.06,1.63,23.3,0,0
1530;51.85;00.08;00.42;28.51.00;551.74;00.05;0,045833333;0.014;08.03;00.01;67.77;00.52;0,768055556;23.05;710.07.00;0;1530,51.85,0.08,0.42,28.51,551.74,0.05,0.66,0.014,8.3,0.01,67.77,0.52,17.86,23.5,710.7,0
508;00.26;00.08;00.44;136.59.00;47.72;00.34;0,129861111;0,077083333;07.08;00.01;35.96;00.07;19.44;23.04;422.03.00;0;508,0.26,0.08,0.44,136.59,47.72,0.34,2.67,0.111,7.8,0.01,35.96,0.07,19.44,23.4,422.3,0
5290;00.41;00.08;00.05;368.89;2982.37.00;0,098611111;00.19;0.042;08.03;00.01;130.12.00;00.27;30.57.00;23.04;0;0;5290,0.41,0.08,0.5,368.89,2982.37,1.82,0.19,0.042,8.3,0.01,130.12,0.27,30.57,23.4,0,0
436;04.01;00.08;00.05;112.86;38.77;00.24;0,105555556;0.062;07.07;00.01;43.17.00;00.07;19.07;23.03;631.03.00;0;436,4.01,0.08,0.5,112.86,38.77,0.24,1.92,0.062,7.7,0.01,43.17,0.07,19.7,23.3,631.3,0
859;01.06;00.08;00.34;14.16;164.03.00;00.05;00.04;0.005;08.05;00.04;0,638194444;00.25;26.19.00;24;100;0;859,1.6,0.08,0.34,14.16,164.03,0.05,0.4,0.005,8.5,0.04,14.79,0.25,26.19,24,100,0
448;0,084027778;00.08;00.45;21.34;47.32.00;00.11;0,063888889;0.007;08.03;00.01;13.04;00.06;06.38;23.06;200;0;448,1.61,0.08,0.45,21.34,47.32,0.11,0.92,0.007,8.3,0.01,13.04,0.06,6.38,23.6,200,0
541;00.02;00.08;00.05;119.64;71.08.00;00.09;01.08;0.007;08.03;00.02;52.08.00;00.06;0,232638889;23.08;772.05.00;0;541,0.02,0.08,0.5,119.64,71.08,0.09,1.08,0.007,8.3,0.02,52.08,0.06,4.95,23.8,772.5,0
590;00.53;00.08;00.36;20.54;98.42.00;00.05;00.08;0.005;08.04;00.06;47.63;00.05;06.51;23.07;1600;0;590,0.53,0.08,0.36,20.54,98.42,0.05,0.08,0.005,8.4,0.06,47.63,0.05,6.51,23.7,1600,0
356;00.37;00.08;00.17;102.04.00;50.59.00;00.35;0,09375;0.009;7;00.01;55.85;00.03;06.04;23.07;1900;0;356,0.37,0.08,0.17,102.04,50.59,0.35,1.75,0.009,7,0.01,55.85,0.03,6.04,23.7,1900,0
431;0,342361111;00.24;00.05;144.09.00;63.24.00;01.19;0;0.003;07.01;00.01;36.14.00;00.06;0,5125;23.06;193.44.00;0;431,7.73,0.24,0.05,144.9,63.24,1.19,0,0.003,7.1,0.01,36.14,0.06,11.78,23.6,193.44,0
285;00.25;00.08;00.05;128.57.00;26.31.00;00.47;03.39;0.003;07.04;00.01;49.75;00.03;03.07;23.08;0;0;285,0.25,0.08,0.05,128.57,26.31,0.47,3.39,0.003,7.4,0.01,49.75,0.03,3.7,23.8,0,0
548;00.02;00.08;0,059027778;162.11.00;78.04.00;01.18;00.37;0.008;08.03;00.01;111.15.00;00.06;03.54;23.01;885.08.00;0;548,0.02,0.08,0.85,162.11,78.04,1.18,0.37,0.008,8.3,0.01,111.15,0.06,3.54,23.1,885.8,0
216;00.02;00.08;00.05;77.55.00;29.85;00.05;02.12;0.003;07.01;00.13;0,338194444;00.03;04.37;23.07;100;0;216,0.02,0.08,0.05,77.55,29.85,0.05,2.12,0.003,7.1,0.13,7.67,0.03,4.37,23.7,100,0
212;00.01;00.08;00.17;73.47.00;26.81;00.27;03.09;0.009;06.07;00.01;0,427083333;00.03;0,234027778;23.07;0;0;212,0.01,0.08,0.17,73.47,26.81,0.27,3.09,0.009,6.7,0.01,9.75,0.03,4.97,23.7,0,0
219;0,045138889;00.08;00.05;77.55.00;30.35.00;00.05;0,167361111;0.003;7;00.01;35.44.00;00.03;1;23.08;1900;1;219,0.65,0.08,0.05,77.55,30.35,0.05,3.61,0.003,7,0.01,35.44,0.03,1,23.8,1900,1
186;2;00.08;00.12;34.03.00;42.45.00;00.05;01.22;0.011;07.08;00.05;0,890972222;00.21;03.22;23.09;0;0;186,2,0.08,0.12,34.3,42.45,0.05,1.22,0.011,7.8,0.05,20.83,0.21,3.22,23.9,0,0
1025;00.03;00.08;0,051388889;168.03.00;138.68;00.05;02.43;0,086805556;08.03;00.01;87.85;00.07;0,186805556;23.06;4900;0;1025,0.3,0.08,0.74,168.3,138.68,0.05,2.43,0.125,8.3,0.01,87.85,0.07,3.89,23.6,4900,0
2270;16.06;00.08;0,049305556;94.52.00;602.44.00;13.56;00.34;0.003;07.08;00.02;137.86;00.11;05.51;23.07;0;0;2270,16.6,0.08,0.71,94.52,602.44,13.56,0.34,0.003,7.8,0.02,137.86,0.11,5.51,23.7,0,0
1610;00.03;00.08;0,050694444;221.93;656.12.00;00.07;01.02;0.079;07.09;00.01;134.21.00;00.09;0,234027778;23.06;400;0;1610,0.3,0.08,0.73,221.93,656.12,0.07,1.02,0.079,7.9,0.01,134.21,0.09,4.97,23.6,400,0
500;01.07;00.08;00.02;67.35.00;59.04.00;00.05;00.24;0.006;08.05;00.01;73.11.00;00.03;04.17;24.05.00;0;0;500,1.7,0.08,0.2,67.35,59.04,0.05,0.24,0.006,8.5,0.01,73.11,0.03,4.17,24.5,0,0
266;0,052777778;00.08;00.14;85.71;24.79;00.05;02.33;0.003;07.04;00.01;30.89;00.03;09.24;23.07;400;0;266,0.76,0.08,0.14,85.71,24.79,0.05,2.33,0.003,7.4,0.01,30.89,0.03,9.24,23.7,400,0
281;00.01;00.08;00.05;108.16.00;45.53.00;00.02;0,125694444;0.003;06.08;00.01;21.06;00.03;05.01;23.07;0;0;281,0.01,0.08,0.05,108.16,45.53,0.2,2.61,0.003,6.8,0.01,21.06,0.03,5.01,23.7,0,0
335;44.17.00;00.04;00.05;112.24.00;41.49.00;00.58;01.26;0.003;07.01;00.14;27.44.00;00.02;0,806944444;23.06;100;0;335,44.17,0.4,0.05,112.24,41.49,0.58,1.26,0.003,7.1,0.14,27.44,0.2,18.82,23.6,100,0
302;00.17;00.08;00.05;143.47.00;39.36.00;00.05;0,109722222;0.003;07.09;00.07;63.92;00.03;09.11;23.02;1200;0;302,0.17,0.08,0.05,143.47,39.36,0.05,1.98,0.003,7.9,0.07,63.92,0.03,9.11,23.2,1200,0
453;00.02;00.08;00.05;216.73;70.84;00.05;0,179861111;0.006;07.09;00.03;55.16.00;00.03;11.41;23.01;200;0;453,0.02,0.08,0.05,216.73,70.84,0.05,3.79,0.006,7.9,0.03,55.16,0.03,11.41,23.1,200,0
330;02.18;00.24;00.05;155.01.00;41.92;00.29;0;0.003;07.07;00.04;27.48.00;00.03;0,401388889;23.01;0;0;330,2.18,0.24,0.05,155.1,41.92,0.29,0,0.003,7.7,0.04,27.48,0.03,8.98,23.1,0,0
294;03.04;00.46;00.05;104.08.00;67.89;01.12;0;0.005;08.05;00.01;25.08.00;00.03;0,310416667;24.05.00;0;0;294,3.4,0.46,0.05,104.08,67.89,1.12,0,0.005,8.5,0.01,25.08,0.03,6.87,24.5,0,0
431;00.07;00.01;00.16;171.43.00;418.18.00;00.05;0;0.006;08.04;00.01;184.11.00;00.03;05.11;24.05.00;0;0;431,0.7,0.1,0.16,171.43,418.18,0.05,0,0.006,8.4,0.01,184.11,0.03,5.11,24.5,0,0
432;01.04;00.08;00.07;122.45.00;59.04.00;00.06;01.46;0.004;08.07;03.43;112.35.00;00.06;04.04;24;0;0;432,1.4,0.08,0.07,122.45,59.04,0.6,1.46,0.004,8.7,3.43,112.35,0.06,4.4,24,0,0
195;00.01;00.08;00.05;67.35.00;43.29.00;00.05;03.52;0.004;08.02;00.06;0,980555556;00.03;05.27;24.03.00;0;0;195,0.01,0.08,0.05,67.35,43.29,0.05,3.52,0.004,8.2,0.06,22.92,0.03,5.27,24.3,0,0
363;07.08;00.29;00.05;151.02.00;50.18.00;01.14;00.25;0.005;08.04;00.01;73.38.00;00.06;0,183333333;24.01.00;0;0;363,7.8,0.29,0.05,151.02,50.18,1.14,0.25,0.005,8.4,0.01,73.38,0.06,3.84,24.1,0,0
240;00.01;00.08;00.05;91.84;44.28.00;00.05;0,093055556;0.005;08.05;00.05;36.44.00;00.12;05.31;24.01.00;0;0;240,0.01,0.08,0.05,91.84,44.28,0.05,1.74,0.005,8.5,0.05,36.44,0.12,5.31,24.1,0,0
186;00.02;00.08;00.12;71.43.00;30.86;00.05;0,134027778;0.004;06.07;00.01;20.53;00.03;00.49;24.06.00;0;1;186,0.02,0.08,0.12,71.43,30.86,0.05,2.73,0.004,6.7,0.1,20.53,0.03,0.49,24.6,0,1
218;00.02;00.08;00.16;75.51.00;50.09.00;00.05;02.32;0.003;06.09;00.01;0,7125;00.03;02.16;24.06.00;0;0;218,0.02,0.08,0.16,75.51,50.09,0.05,2.32,0.003,6.9,0.01,16.66,0.03,2.16,24.6,0,0
170;00.02;00.08;00.11;71.43.00;0,545138889;00.05;0,065277778;0.003;7;00.01;13.29;00.03;1;24.07.00;100;1;170,0.02,0.08,0.11,71.43,12.65,0.05,0.94,0.003,7,0.01,13.29,0.03,1,24.7,100,1
319;00.04;00.08;00.17;128.57.00;50.09.00;00.05;0,042361111;0.004;07.02;00.01;30.27.00;00.04;00.34;24.07.00;947.06.00;1;319,0.4,0.08,0.17,128.57,50.09,0.05,0.61,0.004,7.2,0.01,30.27,0.04,0.34,24.7,947.6,1
296;00.02;00.08;00.32;130.61;32.38.00;00.05;00.15;0.004;07.04;00.02;13.11;00.03;00.19;24.08.00;0;1;296,0.02,0.08,0.32,130.61,32.38,0.05,0.15,0.004,7.4,0.02,13.11,0.03,0.19,24.8,0,1
226;00.02;00.08;00.15;83.67;43.51.00;00.07;0,043055556;0.004;06.07;00.01;22.12;00.03;00.25;24.08.00;0;1;226,0.02,0.08,0.15,83.67,43.51,0.07,0.62,0.004,6.7,0.01,22.12,0.03,0.25,24.8,0,1
362;00.02;00.08;00.19;153.06.00;31.87;00.05;0;0.016;07.09;00.01;0,969444444;00.03;00.25;24.07.00;100;1;362,0.02,0.08,0.19,153.06,31.87,0.05,0,0.016,7.9,0.01,22.76,0.03,0.25,24.7,100,1
184;00.02;00.08;00.17;47.46.00;29.08.00;00.05;03.12;0.006;07.03;00.15;0,677083333;00.06;03.23;23.07;0;0;184,0.2,0.08,0.17,47.46,29.08,0.05,3.12,0.006,7.3,0.15,15.75,0.06,3.23,23.7,0,0
287;00.02;00.08;00.02;95.71;44.24.00;00.05;03.01;0.004;08.01;00.03;11.32;00.05;0,1375;23.07;319.03.00;0;287,0.02,0.08,0.2,95.71,44.24,0.05,3.01,0.004,8.1,0.03,11.32,0.05,2.78,23.7,319.3,0
144;00.03;00.08;00.32;60.22.00;13.12;00.14;01.31;0.007;07.09;00.03;11.12;00.05;02.13;23.06;0;0;144,0.3,0.08,0.32,60.22,13.12,0.14,1.31,0.007,7.9,0.03,11.12,0.05,2.13,23.6,0,0
328;00.02;00.08;00.14;127.82;23.01;00.05;00.05;0.015;08.04;00.02;07.24;00.05;0,186111111;23.06;1200;0;328,0.02,0.08,0.14,127.82,23.01,0.05,0.05,0.015,8.4,0.02,7.24,0.05,3.88,23.6,1200,0
357;00.02;00.08;00.29;113.86;51.02.00;00.14;03.14;0.032;8;00.03;15.27;00.05;0,188194444;23.08;0;0;357,0.2,0.08,0.29,113.86,51.2,0.14,3.14,0.032,8,0.03,15.27,0.05,3.91,23.8,0,0
307;00.02;00.08;00.05;119.18.00;46.74;00.05;04.03;0.005;07.08;00.01;0,557638889;00.04;00.17;23.01;0;1;307,0.02,0.08,0.05,119.18,46.74,0.05,4.03,0.005,7.8,0.01,12.83,0.04,0.17,23.1,0,1
363;00.02;00.08;00.05;138.19.00;27.69;00.05;01.44;0.005;08.03;00.01;70;00.07;05.07;23.08;800;0;363,0.02,0.08,0.05,138.19,27.69,0.05,1.44,0.005,8.3,0.01,70,0.07,5.7,23.8,800,0
239;00.02;00.36;00.05;70.99;163.04.00;00.12;02.08;0.004;07.07;00.04;23.01;00.06;06.41;23.09;0;0;239,0.2,0.36,0.05,70.99,163.04,0.12,2.8,0.004,7.7,0.04,23.1,0.06,6.41,23.9,0,0
261;13.04;00.39;00.34;110.02.00;1,0125;00.08;00.33;0.003;08.03;00.03;12.21;00.03;0,057638889;23.07;0;0;261,13.4,0.39,0.34,110.2,23.78,0.08,0.33,0.003,8.3,0.03,12.21,0.03,0.83,23.7,0,0
402;00.08;00.08;00.41;132.65;55.65;01.01;0,358333333;0,110416667;07.09;00.04;08.43;00.03;06.59;23.06;0;0;402,0.8,0.08,0.41,132.65,55.65,1.1,7.96,1.99,7.9,0.04,8.43,0.03,6.59,23.6,0,0
360;00.04;00.08;00.02;163.04.00;50.59.00;01.24;00.04;0.003;07.07;00.01;17.05;00.02;0,094444444;24.03.00;0;0;360,0.4,0.08,0.2,163.04,50.59,1.24,0.04,0.003,7.7,0.01,17.5,0.2,1.76,24.3,0,0
371;01.05;00.08;00.51;178.26.00;53.63;00.01;00.23;0.003;07.05;00.01;30.29.00;00.11;01.39;24.03.00;100;0;371,1.5,0.08,0.51,178.26,53.63,0.1,0.23,0.003,7.5,0.01,30.29,0.11,1.39,24.3,100,0
209;00.04;00.08;00.05;91.84;39.36.00;00.05;0,059722222;0.004;07.03;00.02;09.03;00.03;03.57;23.01;192.04.00;0;209,0.4,0.08,0.05,91.84,39.36,0.05,0.86,0.004,7.3,0.02,9.3,0.03,3.57,23.1,192.4,0
83;00.01;00.08;00.24;36.73;11.13;00.05;05.45;0.005;07.07;00.02;04.02;00.03;00.46;23.09;0;1;83,0.1,0.08,0.24,36.73,11.13,0.05,5.45,0.005,7.7,0.02,4.02,0.03,0.46,23.9,0,1
111;00.02;00.08;00.23;40.82;27.83;00.05;06.09;0.003;06.06;00.01;04.01;00.03;00.37;23.07;0;1;111,0.02,0.08,0.23,40.82,27.83,0.05,6.09,0.003,6.6,0.01,4.01,0.03,0.37,23.7,0,1
163;00.02;00.08;00.27;61.22.00;25.03.00;00.05;0,106944444;0.003;06.04;00.03;0,193055556;00.03;00.55;23.08;0;1;163,0.2,0.08,0.27,61.22,25.3,0.05,1.94,0.003,6.4,0.03,3.98,0.03,0.55,23.8,0,1
227;00.01;00.08;00.26;89.08.00;28.84;00.05;07.11;0.013;06.06;00.08;09.23;00.03;0,051388889;23.01;1400;0;227,0.01,0.08,0.26,89.8,28.84,0.05,7.11,0.013,6.6,0.08,9.23,0.03,0.74,23.1,1400,0
139;00.01;00.08;00.15;55.01.00;0,842361111;00.05;07.59;0.003;06.06;00.05;04.27;00.03;0,059722222;23.03;0;0;139,0.01,0.08,0.15,55.1,19.73,0.05,7.59,0.003,6.6,0.05,4.27,0.03,0.86,23.3,0,0
172;00.01;00.08;00.02;57.14.00;35.41.00;00.05;07.15;0.003;6;00.04;06.35;00.05;02.16;23.04;0;0;172,0.01,0.08,0.2,57.14,35.41,0.05,7.15,0.003,6,0.04,6.35,0.05,2.16,23.4,0,0
270;00.05;00.32;00.48;108.16.00;34.04.00;00.05;0,174305556;0.004;07.03;00.03;0,422222222;00.03;0,061805556;23.07;525.03.00;0;270,0.5,0.32,0.48,108.16,34.4,0.05,3.71,0.004,7.3,0.03,9.68,0.03,0.89,23.7,525.3,0
256;00.02;00.08;00.02;116.33.00;0,5875;00.08;02.06;0.005;07.07;00.01;16.13;00.03;00.07;24.08.00;0;0;256,0.02,0.08,0.2,116.33,13.66,0.08,2.06,0.005,7.7,0.01,16.13,0.03,0.7,24.8,0,0
252;00.02;00.08;00.02;73.47.00;50.59.00;00.05;0,044444444;0.004;07.03;00.01;27.38.00;00.03;02.28;24.08.00;0;0;252,0.02,0.08,0.2,73.47,50.59,0.05,0.64,0.004,7.3,0.01,27.38,0.03,2.28,24.8,0,0
393;0,356944444;00.08;00.05;192.65;41.52.00;0,04375;00.24;0.003;07.06;00.01;38.96;00.07;04.57;23.02;0;0;393,7.94,0.08,0.05,192.65,41.52,0.63,0.24,0.003,7.6,0.01,38.96,0.07,4.57,23.2,0,0
240;00.02;00.08;00.05;81.63;47.56.00;00.06;01.38;0.014;07.03;00.05;0,145138889;00.03;01.24;24.09.00;2500;1;240,0.2,0.08,0.05,81.63,47.56,0.06,1.38,0.014,7.3,0.05,2.89,0.03,1.24,24.9,2500,1
218;00.06;00.08;00.07;55.01.00;48.57.00;00.05;0,100694444;0.008;7;00.05;0,442361111;00.04;08.52;24.08.00;0;0;218,0.6,0.08,0.07,55.1,48.57,0.05,1.85,0.008,7,0.05,9.97,0.04,8.52,24.8,0,0
238;00.02;00.08;00.06;114.29.00;25.03.00;00.05;00.01;0.005;07.05;00.01;04.31;00.03;04.46;24.08.00;0;0;238,0.2,0.08,0.06,114.29,25.3,0.05,0.1,0.005,7.5,0.01,4.31,0.03,4.46,24.8,0,0
182;00.01;00.08;00.32;69.57.00;33.09.00;00.05;03.07;0.003;7;00.02;07.34;00.03;02.22;24.07.00;0;0;182,0.1,0.08,0.32,69.57,33.9,0.05,3.07,0.003,7,0.02,7.34,0.03,2.22,24.7,0,0
207;00.04;00.08;00.56;89.13.00;1,0125;00.09;00.45;0.003;06.08;00.01;0,606944444;00.03;02.31;24.08.00;1300;0;207,0.4,0.08,0.56,89.13,23.78,0.09,0.45,0.003,6.8,0.01,13.94,0.03,2.31,24.8,1300,0
173;00.01;00.08;00.07;50;44.01.00;00.08;02.37;0.005;05.04;00.32;0,227083333;00.03;0,063888889;24.08.00;0;1;173,0.1,0.08,0.07,50,44.01,0.08,2.37,0.005,5.4,0.32,4.87,0.03,0.92,24.8,0,1
125;03.07;00.08;00.01;52.17.00;0,5875;00.05;0,149305556;0.009;06.04;00.05;0,18125;00.03;00.28;24.04.00;4900;1;125,3.7,0.08,0.1,52.17,13.66,0.05,2.95,0.009,6.4,0.05,3.81,0.03,0.28,24.4,4900,1
101.06.00;00.01;00.08;00.39;34.78;1,0125;00.05;03.36;0.003;05.08;00.03;0,1375;00.03;00.25;24.06.00;0;1;101.6,0.1,0.08,0.39,34.78,23.78,0.05,3.36,0.003,5.8,0.03,2.78,0.03,0.25,24.6,0,1
