Zat_Padat_Terlarut;Kekeruhan;Besi;Fluorida;Total_Hardness;Chlorida;Mangan;Nitrat;Nitrit;Ph;Seng;Sulfat;Senyawa_Aktif_Biru_Metilen;Organik_KMnO4;Suhu;Bakteri_Koli;Kualitas;Zat_Padat_Terlarut,Kekeruhan,Besi,Fluorida,Total_Hardness,Chlorida,Mangan,Nitrat,Nitrit,Ph,Seng,Sulfat,Senyawa_Aktif_Biru_Metilen,Organik_KMnO4,Suhu,Bakteri_Koli,Kualitas
149;00.01;00.08;00.03;50;28.53.00;00.16;06.05;0.003;6;00.02;0,646527778;00.03;0,108333333;23.06;0;0;149,0.1,0.08,0.03,50,28.53,0.16,6.05,0.003,6,0.02,14.91,0.03,1.96,23.6,0,0
254;00.01;00.08;00.12;108.07.00;42.31.00;00.08;0,096527778;0.005;06.04;00.01;58.66;00.03;01.42;23.06;1700;0;254,0.1,0.08,0.12,108.7,42.31,0.08,1.79,0.005,6.4,0.01,58.66,0.03,1.42,23.6,1700,0
215;00.01;00.08;00.03;63.04.00;34.44.00;00.05;04.49;0.003;06.03;0,056944444;46.13.00;00.03;09.05;23.06;0;0;215,0.1,0.08,0.03,63.04,34.44,0.05,4.49,0.003,6.3,0.82,46.13,0.03,9.05,23.6,0,0
198;00.02;00.08;00.32;59.18.00;27.32.00;00.05;02.36;0.003;07.04;00.01;36.94;00.03;00.08;23.03;0;1;198,0.02,0.08,0.32,59.18,27.32,0.05,2.36,0.003,7.4,0.01,36.94,0.03,0.8,23.3,0,1
244;00.02;00.08;00.33;93.88;38.45.00;00.05;0,266666667;0.005;07.02;00.02;29.05.00;00.03;1;23.03;100;0;244,0.02,0.08,0.33,93.88,38.45,0.05,5.84,0.005,7.2,0.02,29.05,0.03,1,23.3,100,0
415;09.03;00.19;00.42;171.43.00;86.01.00;00.05;0,04375;0.003;08.02;00.01;19.36;00.03;0,096527778;23.05;0;0;415,9.3,0.19,0.42,171.43,86.01,0.05,0.63,0.003,8.2,0.01,19.36,0.03,1.79,23.5,0,0
224;00.02;00.08;00.42;87.76;28.84;00.05;0,255555556;0.003;07.07;00.03;54.89;00.03;01.11;23.07;100;0;224,0.02,0.08,0.42,87.76,28.84,0.05,5.68,0.003,7.7,0.03,54.89,0.03,1.11,23.7,100,0
165;00.07;00.08;00.49;48.98;14.17;00.05;0,085416667;0.005;07.07;00.45;43.82;00.03;0,091666667;23.09;100;0;165,0.7,0.08,0.49,48.98,14.17,0.05,1.63,0.005,7.7,0.45,43.82,0.03,1.72,23.9,100,0
273;00.01;00.08;00.03;73.47.00;70.83;00.07;0,144444444;0.005;07.02;00.03;31.51.00;00.03;0,051388889;23.07;0;0;273,0.1,0.08,0.3,73.47,70.83,0.07,2.88,0.005,7.2,0.03,31.51,0.03,0.74,23.7,0,0
165;00.01;00.08;00.05;48.98;0,672222222;00.05;01.08;0.003;08.01;00.01;34.12.00;00.03;05.24;23.06;0;0;165,0.1,0.08,0.5,48.98,15.68,0.05,1.8,0.003,8.1,0.01,34.12,0.03,5.24,23.6,0,0
253;00.02;00.08;00.35;97.96;33.39.00;00.05;02.57;0.003;06.08;00.03;21.18;00.03;02.04;23.06;0;0;253,0.02,0.08,0.35,97.96,33.39,0.05,2.57,0.003,6.8,0.03,21.18,0.03,2.4,23.6,0,0
219;38.08.00;00.08;00.17;91.84;49.07.00;00.05;0,047916667;00.01;06.07;00.01;17.32;00.13;03.11;23.09;0;0;219,38.8,0.08,0.17,91.84,49.07,0.05,0.69,0.01,6.7,0.01,17.32,0.13,3.11,23.9,0,0
262;00.02;01.24;00.28;87.76;60.71;0,044444444;01.09;0.013;06.07;00.01;06.39;00.03;0,085416667;23.04;500;0;262,0.02,1.24,0.28,87.76,60.71,0.64,1.9,0.013,6.7,0.01,6.39,0.03,1.63,23.4,500,0
149;00.02;00.08;00.07;46.94;27.83;00.05;0,15;0.006;6;00.01;33.36.00;00.03;01.32;23.03;200;1;149,0.02,0.08,0.07,46.94,27.83,0.05,2.96,0.006,6,0.01,33.36,0.03,1.32,23.3,200,1
127;00.01;00.08;00.07;46.94;16.19;00.24;0,144444444;0.003;06.05;00.01;0,357638889;00.03;0,06875;23.01;0;0;127,0.1,0.08,0.07,46.94,16.19,0.24,2.88,0.003,6.5,0.1,7.95,0.03,0.99,23.1,0,0
164;00.02;00.08;00.03;57.14.00;29.85;00.05;06.53;0.003;06.04;00.01;0,259027778;00.03;0,057638889;23.08;0;0;164,0.02,0.08,0.03,57.14,29.85,0.05,6.53,0.003,6.4,0.01,5.73,0.03,0.83,23.8,0,0
209;02.04;00.08;00.13;77.55.00;20.24;00.05;00.52;0.019;07.07;00.01;10.08;00.03;01.05;23.09;0;1;209,2.4,0.08,0.13,77.55,20.24,0.05,0.52,0.019,7.7,0.01,10.8,0.03,1.05,23.9,0,1
408;17.02;00.13;00.04;132.65;65.77;00.05;00.02;0.007;07.01;00.01;38.06.00;00.04;0,085416667;23.07;0;0;408,17.2,0.13,0.04,132.65,65.77,0.05,0.2,0.007,7.1,0.01,38.06,0.04,1.63,23.7,0,0
259;00.02;0,091666667;00.13;104.08.00;43;01.17;06.02;0.013;06.06;00.01;11.53;00.03;0,053472222;24.05.00;0;0;259,0.02,1.72,0.13,104.08,43,1.17,6.02,0.013,6.6,0.01,11.53,0.03,0.77,24.5,0,0
212;00.02;00.08;00.01;79.59.00;34.04.00;00.27;0,141666667;0.008;06.03;0,052777778;0,516666667;00.03;0,06875;24.05.00;0;0;212,0.02,0.08,0.1,79.59,34.4,0.27,2.84,0.008,6.3,0.76,11.84,0.03,0.99,24.5,0,0
167;01.04;00.08;00.14;53.06.00;36.93;00.19;0,102083333;0.003;06.05;00.01;29.65;00.06;0,218055556;24.05.00;0;0;167,1.4,0.08,0.14,53.06,36.93,0.19,1.87,0.003,6.5,0.01,29.65,0.06,4.74,24.5,0,0
213;00.02;00.08;00.15;91.84;26.31.00;00.25;01.58;0.006;06.09;00.02;0,692361111;00.03;0,190277778;24.07.00;0;0;213,0.02,0.08,0.15,91.84,26.31,0.25,1.58,0.006,6.9,0.02,15.97,0.03,3.94,24.7,0,0
189;00.02;00.08;00.15;73.47.00;27.83;00.43;07.58;0.003;06.06;00.03;09.44;00.03;01.11;24.08.00;0;0;189,0.02,0.08,0.15,73.47,27.83,0.43,7.58,0.003,6.6,0.03,9.44,0.03,1.11,24.8,0,0
122;2;00.08;00.17;55.01.00;10.12;00.05;00.24;0.003;07.06;00.06;08.38;00.03;01.05;24.04.00;0;1;122,2,0.08,0.17,55.1,10.12,0.05,0.24,0.003,7.6,0.06,8.38,0.03,1.05,24.4,0,1
310;00.03;00.08;00.14;109.18.00;53.77;00.28;01.41;0,090972222;07.07;00.05;35.84;00.14;00.28;23;0;0;310,0.3,0.08,0.14,109.18,53.77,0.28,1.41,0.131,7.7,0.05,35.84,0.14,0.28,23,0,0
226;07.01;00.08;00.05;93.27.00;29.91;00.06;03.17;0.004;07.08;00.33;21.08;00.03;0,084027778;23.04;100;0;226,7.1,0.08,0.05,93.27,29.91,0.06,3.17,0.004,7.8,0.33,21.8,0.03,1.61,23.4,100,0
177;00.03;00.08;00.05;59.08.00;0,940277778;00.05;0,146527778;0.003;07.06;00.02;22.18;00.03;04.06;23.04;0;0;177,0.3,0.08,0.05,59.8,21.94,0.05,2.91,0.003,7.6,0.02,22.18,0.03,4.6,23.4,0,0
285;00.02;00.08;00.08;153.27.00;38.67;00.58;0,051388889;0.029;07.09;00.02;08.04;00.03;00.19;23.01;0;0;285,0.02,0.08,0.08,153.27,38.67,0.58,0.74,0.029,7.9,0.02,8.04,0.03,0.19,23.1,0,0
